Day,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
559,43.071458413573,36.77449293438895,23.73341885620923,15.469591452869064,28.10552311506526,35.02466641996229,39.327628475845096,50.849534971922246,38.170538362987216,36.97651161474362,43.63606479536954,45.80837679521375,49.30500893922509,46.088657929725095,51.46328081002815,59.717630005258684,61.58960306963452,90.73295913076953,94.38048666926255,99.75163956874016,108.05730945454779,83.83411246149444,64.96539829112102,47.298974573739315
560,85.089150854454,65.10743276304677,39.904617413950064,37.824286505038025,48.48546283573867,70.19499954926334,89.82324126489564,119.02421340522818,90.02340651207093,84.15805792902913,98.94387256667935,99.6742596626213,111.44984934579277,97.99063721925022,103.0879809739944,122.1066669304609,113.32191178195032,170.95241415319447,177.13678482624448,183.48000872172054,198.45185698080667,161.28588126346543,131.93666294529913,86.51555010609647
561,96.38259563918047,86.12486801526725,60.88752895739324,41.914988846133795,47.319143889826954,61.72138867127256,85.84220786246706,132.23830877800194,97.80187416960715,84.95971267132742,86.54872253405068,94.40235647408785,118.38729528921868,110.28971071348866,116.88833400234888,149.65367786089152,134.4671871010519,195.1327803292986,193.07097344735453,216.50742735155552,244.3069876510616,189.50180182504454,158.15060888077238,109.6837735309447
562,103.67598928502217,70.09478765229423,56.11525150301496,39.65876915801605,57.786811062948615,68.57489248860252,90.44363721089239,126.15286135667907,98.31861955533655,90.22049464765057,106.18900570221811,118.04043456864122,137.41593680830883,124.0577860618402,134.2685127106781,159.8871846263301,147.91956229569684,208.74767635771192,222.84553780439953,242.40705311432689,257.756971654503,196.6111101775507,159.58723242698034,111.05805241158339
563,71.75099374614874,51.87530699325718,28.667398639155337,19.76328640074222,34.188133853884096,45.95803493205113,67.7157315780919,89.55087440625631,75.899953043869,75.27587176564052,78.26126674542631,84.96130134272563,94.44035063900574,91.21480856229132,96.68820558570224,112.21312524781187,103.12918670970916,144.60001918289706,157.04531285834904,167.07743629382304,181.0563983264419,147.36074697234983,114.91531986020783,79.86444305400204
564,58.2378343074084,46.29073054304083,31.959258595345162,21.597724791302014,26.523231689802977,30.054593183172337,50.05528675261956,67.34121401995557,47.2958203438105,43.55626370379992,55.87256561788942,64.56408803287803,73.0247523251679,69.94931578807099,73.37388518530605,84.00860632312607,82.35453841228033,112.28411656908109,117.79567632337096,125.77929129002797,138.68285749217563,115.279022033026,91.34029248434436,63.31170579856765
565,47.8030758258257,35.33226129996934,26.946244809802412,19.887218826487164,23.60969289654118,27.023867564892495,41.68946875732629,60.54158643595153,43.76991208325665,37.05542996591564,47.867056467927036,50.25699731613578,58.79085931351742,57.42152776978034,60.12553203045637,70.5996166506208,65.57888350345327,95.49101736856362,105.10147593619538,105.3451872652313,121.1119142613746,100.55662726822561,83.3820519171367,55.20803956090353
566,52.212251111573636,36.86620120078021,29.31040264894211,16.76687312366486,27.551902741811,35.17039964173083,50.92478288820558,68.59999912937718,52.272198608419515,45.5671443269024,45.779742353873075,54.83577680331904,63.51978744238901,57.68321677464378,72.35316697690813,88.5662022564561,83.94411806934217,110.53589070823304,119.11545382922048,128.22071613770484,144.90751448881718,122.47192572369762,92.26777013370486,63.53076663669533
567,84.23474476588798,62.07181460198551,31.527411435833915,24.685628290568882,42.504311182960244,48.542430080643946,78.05580678436918,103.40429601264655,79.54753540595712,79.51915659055467,90.25228848281047,97.27337518196525,106.69486185302424,94.40040438366677,102.15393762073495,123.27571013328843,118.47138622354107,164.60830591881975,175.8314054615779,184.9107443383196,208.68482269715307,167.42243287798635,139.2584114597253,90.75306701673755
568,87.43011576668815,75.08058264475864,47.46140661399317,34.832106717020956,48.25419453285356,59.207929461026886,91.0992172341455,115.5654356509051,97.07169215163452,79.39536019848713,94.14598072397555,111.28241472459621,112.20098984046501,107.74896668674545,123.84937374408702,151.3121274963632,129.8974191235383,190.86496272175174,203.11548753237213,211.5824377805512,240.4685967155039,187.21223338214347,148.53073407805695,106.69280856700881
